STATUS | wrapper  | 2022/10/06 15:51:30 | --> Wrapper Started as Console
STATUS | wrapper  | 2022/10/06 15:51:31 | Launching a JVM...
INFO   | jvm 1    | 2022/10/06 15:51:31 | Wrapper (Version 3.2.3) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2022/10/06 15:51:31 |   Copyright 1999-2006 Tanuki Software, Inc.  All Rights Reserved.
INFO   | jvm 1    | 2022/10/06 15:51:31 | 
INFO   | jvm 1    | 2022/10/06 15:51:31 | Java Runtime: Oracle Corporation 11.0.9 C:\Program Files\java\jdk-11.0.9
INFO   | jvm 1    | 2022/10/06 15:51:31 |   Heap sizes: current=1048576k  free=1037312k  max=1048576k
INFO   | jvm 1    | 2022/10/06 15:51:31 |     JVM args: -Dactivemq.home=../.. -Dactivemq.base=../.. -Djavax.net.ssl.keyStorePassword=password -Djavax.net.ssl.trustStorePassword=password -Djavax.net.ssl.keyStore=../../conf/broker.ks -Djavax.net.ssl.trustStore=../../conf/broker.ts -Dcom.sun.management.jmxremote -Dorg.apache.activemq.UseDedicatedTaskRunner=false -Djava.util.logging.config.file=logging.properties -Dactivemq.conf=../../conf -Dactivemq.data=../../data -Djava.security.auth.login.config=../../conf/login.config -Xms1024m -Xmx1024m -Djava.library.path=../../bin/win64 -Dwrapper.key=0IE6afIYHpZxk_S4 -Dwrapper.port=32000 -Dwrapper.jvm.port.min=31000 -Dwrapper.jvm.port.max=31999 -Dwrapper.pid=7440 -Dwrapper.version=3.2.3 -Dwrapper.native_library=wrapper -Dwrapper.cpu.timeout=10 -Dwrapper.jvmid=1
INFO   | jvm 1    | 2022/10/06 15:51:31 | Extensions classpath:
INFO   | jvm 1    | 2022/10/06 15:51:31 |   [..\..\lib,..\..\lib\camel,..\..\lib\optional,..\..\lib\web,..\..\lib\extra]
INFO   | jvm 1    | 2022/10/06 15:51:31 | ACTIVEMQ_HOME: ..\..
INFO   | jvm 1    | 2022/10/06 15:51:31 | ACTIVEMQ_BASE: ..\..
INFO   | jvm 1    | 2022/10/06 15:51:31 | ACTIVEMQ_CONF: ..\..\conf
INFO   | jvm 1    | 2022/10/06 15:51:31 | ACTIVEMQ_DATA: ..\..\data
INFO   | jvm 1    | 2022/10/06 15:51:32 | Loading message broker from: xbean:activemq.xml
INFO   | jvm 1    | 2022/10/06 15:51:32 |  INFO | Using Persistence Adapter: KahaDBPersistenceAdapter[T:\19431791_LeTuan_KTPM\K1N4_KTPM_GK\apache-activemq-5.17.2\bin\win64\..\..\data\kahadb]
INFO   | jvm 1    | 2022/10/06 15:51:34 |  INFO | PListStore:[T:\19431791_LeTuan_KTPM\K1N4_KTPM_GK\apache-activemq-5.17.2\bin\win64\..\..\data\localhost\tmp_storage] started
INFO   | jvm 1    | 2022/10/06 15:51:34 |  INFO | Apache ActiveMQ 5.17.2 (localhost, ID:H82M22-56264-1665046294762-0:1) is starting
INFO   | jvm 1    | 2022/10/06 15:51:34 |  INFO | Listening for connections at: tcp://H82M22:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600
INFO   | jvm 1    | 2022/10/06 15:51:34 |  INFO | Connector openwire started
INFO   | jvm 1    | 2022/10/06 15:51:34 |  INFO | Listening for connections at: amqp://H82M22:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600
INFO   | jvm 1    | 2022/10/06 15:51:34 |  INFO | Connector amqp started
INFO   | jvm 1    | 2022/10/06 15:51:34 |  INFO | Listening for connections at: stomp://H82M22:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600
INFO   | jvm 1    | 2022/10/06 15:51:34 |  INFO | Connector stomp started
INFO   | jvm 1    | 2022/10/06 15:51:34 |  INFO | Listening for connections at: mqtt://H82M22:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600
INFO   | jvm 1    | 2022/10/06 15:51:34 |  INFO | Connector mqtt started
INFO   | jvm 1    | 2022/10/06 15:51:34 |  INFO | Starting Jetty server
INFO   | jvm 1    | 2022/10/06 15:51:35 |  INFO | Creating Jetty connector
INFO   | jvm 1    | 2022/10/06 15:51:35 |  WARN | ServletContext@o.e.j.s.ServletContextHandler@19c6e72{/,null,STARTING} has uncovered http methods for path: /
INFO   | jvm 1    | 2022/10/06 15:51:35 |  INFO | Listening for connections at ws://H82M22:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600
INFO   | jvm 1    | 2022/10/06 15:51:35 |  INFO | Connector ws started
INFO   | jvm 1    | 2022/10/06 15:51:35 |  INFO | Apache ActiveMQ 5.17.2 (localhost, ID:H82M22-56264-1665046294762-0:1) started
INFO   | jvm 1    | 2022/10/06 15:51:35 |  INFO | For help or more information please see: http://activemq.apache.org
INFO   | jvm 1    | 2022/10/06 15:51:35 |  WARN | Store limit is 102400 mb (current store usage is 0 mb). The data directory: T:\19431791_LeTuan_KTPM\K1N4_KTPM_GK\apache-activemq-5.17.2\bin\win64\..\..\data\kahadb only has 50463 mb of usable space. - resetting to maximum available disk space: 50463 mb
INFO   | jvm 1    | 2022/10/06 15:51:35 |  WARN | Temporary Store limit is 51200 mb (current store usage is 0 mb). The data directory: T:\19431791_LeTuan_KTPM\K1N4_KTPM_GK\apache-activemq-5.17.2\bin\win64\..\..\data only has 50463 mb of usable space. - resetting to maximum available disk space: 50463 mb
INFO   | jvm 1    | 2022/10/06 15:51:35 |  INFO | ActiveMQ WebConsole available at http://127.0.0.1:8161/
INFO   | jvm 1    | 2022/10/06 15:51:35 |  INFO | ActiveMQ Jolokia REST API available at http://127.0.0.1:8161/api/jolokia/
